time,total_slot_ms
1317,0
1318,2504012
1319,0
1320,57728809
1321,36639384
1322,13428355
1323,7305818
1324,5301738
1325,325253
1326,7879915
1327,101665
1328,0
1329,0
1330,4041963
1331,28
1332,1861763
1333,80147417
1334,30817676
1335,0
1336,1347872
1337,6777
1338,8600844
1339,12076313
1340,3073
1341,8162
1342,3986430
1343,0
1344,22123868
1345,46376616
1346,11141833
1347,13691616
1348,1887112
1349,3199912
1350,11023162
1351,153815
1352,0
1353,353482
1354,5151678
1355,0
1356,23677722
1357,39097918
1358,5418616
1359,2412224
1360,1547492
1361,0
1362,9045006
1363,133509
1364,2834574
1365,3809158
1366,0
1367,2088802
1368,20629673
1369,23153967
1370,727273
1371,18398420
1372,1506823
1373,4681034
1374,10554215
1375,40598764
1376,0
1377,924352
1378,1627786
1379,0
1380,19283254
1381,19395174
1382,5686088
1383,0
1384,1350568
1385,0
1386,8414408
1387,1737818
1388,13887225
1389,26363702
1390,4198431
1391,107188
1392,41292854
1393,738212
1394,4876246
1395,25016272
1396,83212589
1397,11612477
1398,11126716
1399,1770934
1400,172272002
1401,176831784
1402,98721798
1403,40877902
1404,36843969
1405,11051772
1406,13544272
1407,3676057
1408,867682
1409,0
1410,8384262
1411,128266
1412,30427
1413,1152
1414,3341382
1415,826
1416,27112580
1417,13941863
1418,5742000
1419,302330
1420,3812399
1421,0
1422,63080762
1423,2050951
1424,530
1425,556
1426,3178458
1427,0
1428,25108753
1429,18412675
1430,3168885
1431,1958596
1432,1483848
1433,0
1434,9147098
1435,148136
1436,0
1437,0
1438,3675346
1439,0
1440,59467931
1441,27007718
1442,10835436
1443,686392
1444,885454
1445,3137380
1446,10094257
1447,136748
1448,1881
1449,139370
1450,2603014
1451,0
1452,10345343
1453,24114285
1454,13505984
1455,689876
1456,4637660
1457,2078220
1458,40837784
1459,153098
1460,2147
1461,124071
1462,3987884
1463,0
1464,20485068
1465,13317302
1466,13106342
1467,7164381
1468,7312083
1469,2285728
1470,8583158
1471,119371
1472,0
1473,376896
1474,15637914
1475,1603415
1476,12048964
1477,28081565
1478,537964
1479,11577569
1480,2946642
1481,1144326
1482,4157046
1483,2871513
1484,1134199
1485,0
1486,3330277
1487,272819
1488,102603
1489,45981769
1490,1842538
1491,9208960
1492,9118430
1493,6327825
1494,6772571
1495,5804190
1496,932376
1497,787032
1498,2237116
1499,1435563
1500,60621950
1501,22347854
1502,4623536
1503,10783350
1504,133625
1505,1346349
1506,2868591
1507,1367450
1508,4583563
1509,11695212
1510,1070335
1511,369610
1512,9777260
1513,19983574
1514,21156277
1515,11958718
1516,471934
1517,3173362
1518,5699474
1519,2525423
1520,5581720
1521,5214162
1522,1964010
1523,2468330
1524,19141819
1525,11606528
1526,11864128
1527,12707040
1528,2934719
1529,6849014
1530,4248333
1531,1781463
1532,5083501
1533,20547449
1534,52321406
1535,156011435
1536,86766708
1537,42107466
1538,6409382
1539,18011714
1540,5464024
1541,4809381
1542,6844272
1543,5668474
1544,3419258
1545,3500120
1546,5240262
1547,3941443
1548,5142902
1549,44300218
1550,11895583
1551,18400792
1552,4572573
1553,3578723
1554,6199439
1555,6393065
1556,1537950
1557,7537988
1558,12011915
1559,973237
1560,5481710
1561,65102396
1562,42883708
1563,7616167
1564,14687011
1565,4802886
1566,2051275
1567,6710133
1568,3377649
1569,10689529
1570,34607657
1571,73330433
1572,15932755
1573,32114967
1574,10931734
1575,18719015
1576,111238424
1577,224104452
1578,144049297
1579,3919694
1580,32125
1581,15517286
1582,116958690
1583,40154705
1584,29144201
1585,20875280
1586,1481469
1587,12818179
1588,1984776
1589,178649376
1590,182240969
1591,89949885
1592,33989130
1593,0
1594,2369830
1595,131802
1596,29770111
1597,12449750
1598,10593584
1599,2020772
1600,948664
1601,0
1602,5415363
1603,1695127
1604,0
1605,0
1606,1620256
1607,0
1608,3349994
1609,58589457
1610,12124855
1611,1393315
1612,1551263
1613,870067
1614,7623830
1615,93785
1616,0
1617,2937578
1618,0
1619,0
1620,24437935
1621,12982541
1622,13592408
1623,1421290
1624,0
1625,369
1626,278861
1627,18594443
1628,0
1629,3889718
1630,27681960
1631,0
1632,27564327
1633,7258452
1634,6067964
1635,3794881
1636,1221303
1637,3224594
1638,9638924
1639,138448
1640,0
1641,3959906
1642,0
1643,0
1644,14966399
1645,14085709
1646,3040622
1647,1376793
1648,97690
1649,0
1650,8364603
1651,128600
1652,0
1653,44177
1654,2511163
1655,0
1656,13374667
1657,22810103
1658,1309106
1659,2462620
1660,1258253
1661,52927
1662,13267732
1663,18558174
1664,0
1665,0
1666,3082186
1667,1971
1668,25811783
1669,6529047
1670,4996801
1671,204913
1672,1068631
1673,0
1674,6734790
1675,94715
1676,0
1677,0
1678,1800606
1679,0
1680,37323273
1681,4131497
1682,943378
1683,3655574
1684,1408521
1685,2270600
1686,7908896
1687,93294
1688,0
1689,0
1690,3090414
1691,0
1692,27785026
1693,4515558
1694,3056708
1695,1000280
1696,446062
1697,154540
1698,6654204
1699,251545
1700,0
1701,0
1702,3059120
1703,0
1704,28390999
1705,18648179
1706,2811827
1707,1145078
1708,235498
1709,2389226
1710,6904792
1711,109933
1712,0
1713,0
1714,3202464
1715,0
1716,20196487
1717,9546249
1718,2609104
1719,1365358
1720,113904
1721,0
1722,8637568
1723,117104
1724,0
1725,0
1726,2493946
1727,0
1728,15829279
1729,9280152
1730,5091902
1731,558499
1732,3870480
1733,0
1734,3764513
1735,7501055
1736,2414
1737,153888
1738,3285160
1739,0
1740,18122028
1741,10631178
1742,1119713
1743,2987678
1744,238032
1745,0
1746,8251644
1747,112011
1748,1233
1749,2006728
1750,1496856
1751,0
1752,17519761
1753,8120433
1754,1235073
1755,7013106
1756,11273025
1757,2262810
1758,7554778
1759,318181
1760,0
1761,67106
1762,13564496
1763,412095
1764,23704223
1765,9324218
1766,2464675
1767,2786950
1768,1251057
1769,800043
1770,4601892
1771,2736570
1772,662555
1773,0
1774,2896102
1775,230940
1776,174623
1777,10018426
1778,24999659
1779,7271843
1780,1023004
1781,5922613
1782,9657970
1783,1963836
1784,3119249
1785,6111
1786,290643
1787,3020666
1788,12113861
1789,35652715
1790,3145437
1791,1744666
1792,2079512
1793,88727
1794,197618
1795,4018000
1796,682891
1797,4206760
1798,13372484
1799,262615
1800,18543886
1801,16570342
1802,9698798
1803,1398070
1804,704855
1805,2055480
1806,2561524
1807,2974628
1808,3546804
1809,721200
1810,2106859
1811,851632
1812,834300
1813,551568
1814,2261841
1815,5261204
1816,9956819
1817,3485694
1818,40613881
1819,5962929
1820,4168794
1821,908212
1822,16831402
1823,32796153
1824,78488700
1825,106832943
1826,3834124
1827,9251243
1828,8357906
1829,4073737
1830,9866058
1831,4535037
1832,3649033
1833,3059735
1834,3726077
1835,3318527
1836,16185178
1837,16963764
1838,16192830
1839,5738908
1840,5749967
1841,5981789
1842,7503691
1843,5832982
1844,20593141
1845,1351096
1846,3302090
1847,4159332
1848,17939
1849,2921289
1850,29672800
1851,3301868
1852,1538044
1853,412653
1854,142878
1855,17679378
1856,5647427
1857,1122733
1858,200472
1859,1345586
1860,12728881
1861,13885168
1862,4566010
1863,983425
1864,4045952
1865,5925844
1866,5230258
1867,170354
1868,16534
1869,166974
1870,1388441
1871,0
1872,25967995
1873,10922029
1874,3837096
1875,808921
1876,2488771
1877,241981551
1878,66127315
1879,43842760
1880,29905161
1881,4533058
1882,4878125
1883,41060
1884,136528677
1885,441722230
1886,205712440
1887,39957534
1888,46448882
1889,0
1890,5612674
1891,985597
1892,0
1893,0
1894,2662276
1895,0
1896,36743694
1897,25797751
1898,7464823
1899,1648903
1900,1147733
1901,2758060
1902,6900246
1903,122704
1904,0
1905,0
1906,4466808
1907,0
1908,29404864
1909,24582542
1910,3951066
1911,1707822
1912,458550
1913,1394
1914,10507802
1915,9533072
1916,0
1917,0
1918,1997402
1919,0
1920,25322294
1921,13332528
1922,6518435
1923,252539
1924,1814647
1925,3395752
1926,10077800
1927,150795
1928,0
1929,2843759
1930,1356097
1931,0
1932,21820480
1933,30958144
1934,5166977
1935,2567523
1936,1376568
1937,0
1938,1086690
1939,6694089
1940,0
1941,3307272
1942,0
1943,0
1944,34709862
1945,19217385
1946,6099412
1947,1693453
1948,625167
1949,3362060
1950,8484000
1951,20886359
1952,0
1953,3275376
1954,0
1955,0
1956,23602843
1957,12553603
1958,5779465
1959,1223016
1960,55428
1961,0
1962,8229914
1963,109936
1964,0
1965,0
1966,3150364
1967,0
1968,14783391
1969,30501128
1970,6120442
1971,1255212
1972,90371
1973,90645
1974,9164976
1975,113414
1976,0
1977,1719434
1978,445672
1979,0
1980,22306848
1981,11437912
1982,6275434
1983,0
1984,1544552
1985,0
1986,8988442
1987,134490
1988,0
1989,0
1990,1646550
1991,0
1992,17551191
1993,17609763
1994,6654791
1995,157449
1996,1258999
1997,2101819
1998,8465760
1999,118546
2000,0
2001,0
2002,2901154
2003,0
2004,25507335
2005,3330002
2006,5171303
2007,0
2008,1052402
2009,0
2010,7877152
2011,153422
2012,0
2013,0
2014,2786542
2015,0
2016,13640112
2017,18743044
2018,13682584
2019,1160799
2020,2869284
2021,0
2022,10887099
2023,172695
2024,1005
2025,109264
2026,3411482
2027,0
2028,15631873
2029,10565405
2030,13045873
2031,1194936
2032,0
2033,0
2034,8279256
2035,101021
2036,1220
2037,100223
2038,3434619
2039,0
2040,13131471
2041,13011227
2042,7232872
2043,11203430
2044,10521227
2045,2030905
2046,10537496
2047,118449
2048,71120
2049,680450
2050,12825216
2051,543736
2052,17395335
2053,11981920
2054,5319675
2055,10817396
2056,1311314
2057,27315
2058,7818126
2059,106902
2060,1018512
2061,0
2062,2900910
2063,186561
2064,12790633
2065,27429214
2066,4011764
2067,12075545
2068,3735727
2069,5046467
2070,3233385
2071,7112048
2072,874375
2073,194055
2074,111226
2075,2369384
2076,19764699
2077,36121155
2078,3117901
2079,14352886
2080,1289415
2081,206330
2082,3409111
2083,743342
2084,2380149
2085,2884639
2086,13472362
2087,2104573
2088,2161340
2089,29437752
2090,23764180
2091,6916747
2092,802314
2093,1343104
2094,2335884
2095,4434092
2096,1454477
2097,3267536
2098,3168220
2099,2352213
2100,12634412
2101,785581
2102,26872585
2103,18491961
2104,3062747
2105,1602542
2106,1061934
2107,16555696
2108,32627154
2109,36117290
2110,71093478
2111,2026840
2112,7138118
2113,89833348
2114,11305619
2115,19294580
2116,4299260
2117,5572619
2118,5232609
2119,4083047
2120,3483494
2121,4678630
2122,4684128
2123,4634189
2124,19692401
2125,15733690
2126,12082908
2127,16828029
2128,3997836
2129,3416324
2130,16296624
2131,3044925
2132,7006367
2133,3315635
2134,1435434
2135,175585
2136,16233
2137,3038137
2138,39374843
2139,1322359
2140,465090
2141,815478
2142,8120752
2143,7080431
2144,5924109
2145,3338981
2146,1029997
2147,0
2148,10853775
2149,15820810
2150,1715411
2151,11371778
2152,598278
2153,6223660
2154,2025187
2155,76774
2156,180064
2157,508066
2158,4008368
2159,3133847
2160,20905602
2161,5822060
2162,59816948
2163,12570949
2164,1211897
2165,13306986
2166,44813069
2167,36733250
2168,25561973
2169,14546876
2170,5891206
2171,2476011
2172,346426703
2173,414888633
2174,46415925
2175,57435541
2176,850560
2177,236530
2178,6192851
2179,721025
2180,0
2181,0
2182,2346066
2183,0
2184,34582074
2185,22377937
2186,12532548
2187,1795343
2188,1479520
2189,1865534
2190,6528214
2191,108017
2192,0
2193,0
2194,2739508
2195,0
2196,3732949
2197,38174645
2198,15931746
2199,1267318
2200,0
2201,315
2202,6625038
2203,9044682
2204,0
2205,0
2206,3507440
2207,0
2208,22026332
2209,12872196
2210,7581452
2211,2382365
2212,1674638
2213,2175002
2214,7541888
2215,101717
2216,0
2217,0
2218,3320682
2219,0
2220,4291514
2221,52232402
2222,14837266
2223,1171063
2224,53454
2225,0
2226,8318802
2227,130325
2228,0
2229,1640024
2230,0
2231,0
2232,23204067
2233,16070102
2234,4200614
2235,322410
2236,1381831
2237,30989
2238,2062825
2239,23653091
2240,0
2241,0
2242,3155912
2243,0
2244,22627572
